id_ipc_division;valor_ipc_division;id_division;id_periodo;id_region
NULL;3.3;3;59;2
NULL;5.4;3;60;2
NULL;2;3;61;2
NULL;2.9;3;62;2
NULL;13.6;3;63;2
NULL;10.7;3;64;2
NULL;5;3;65;2
NULL;0;4;1;2
NULL;8.4;4;2;2
NULL;2.2;4;3;2
NULL;4.6;4;4;2
NULL;1.9;4;5;2
NULL;2.4;4;6;2
NULL;2.5;4;7;2
NULL;2.6;4;8;2
NULL;0.8;4;9;2
NULL;0.5;4;10;2
NULL;1;4;11;2
NULL;18.9;4;12;2
NULL;-1.6;4;13;2
NULL;4.9;4;14;2
NULL;1;4;15;2
NULL;6.7;4;16;2
NULL;-1.3;4;17;2
NULL;3.9;4;18;2
NULL;0;4;19;2
NULL;8.6;4;20;2
NULL;0.7;4;21;2
NULL;7.1;4;22;2
NULL;1;4;23;2
NULL;4.7;4;24;2
NULL;1.4;4;25;2
NULL;7.1;4;26;2
NULL;3.6;4;27;2
NULL;3.4;4;28;2
NULL;3.5;4;29;2
NULL;2.6;4;30;2
NULL;2.4;4;31;2
NULL;1.6;4;32;2
NULL;1.6;4;33;2
NULL;2;4;34;2
NULL;1.7;4;35;2
NULL;2.7;4;36;2
NULL;-0.6;4;37;2
NULL;1.2;4;38;2
NULL;2;4;39;2
NULL;0.2;4;40;2
NULL;0.3;4;41;2
NULL;0.7;4;42;2
NULL;0.5;4;43;2
NULL;2.5;4;44;2
NULL;1.1;4;45;2
NULL;2.2;4;46;2
NULL;2.5;4;47;2
NULL;4.1;4;48;2
NULL;-1;4;49;2
NULL;2.2;4;50;2
NULL;1;4;51;2
NULL;4.1;4;52;2
NULL;2.7;4;53;2
NULL;2.2;4;54;2
NULL;3.6;4;55;2
NULL;2.9;4;56;2
NULL;1.4;4;57;2
NULL;2.9;4;58;2
NULL;1.8;4;59;2
NULL;2.5;4;60;2
NULL;1;4;61;2
NULL;2.5;4;62;2
NULL;8.4;4;63;2
NULL;4.8;4;64;2
NULL;2.8;4;65;2
NULL;1.4;6;1;2
NULL;3.3;6;2;2
NULL;1.9;6;3;2
NULL;1.4;6;4;2
NULL;1.5;6;5;2
NULL;1.3;6;6;2
NULL;3.4;6;7;2
NULL;2.9;6;8;2
NULL;2.4;6;9;2
NULL;0.8;6;10;2
NULL;1.2;6;11;2
NULL;2.9;6;12;2
NULL;1.9;6;13;2
NULL;2.7;6;14;2
NULL;1;6;15;2
NULL;1.5;6;16;2
NULL;2.3;6;17;2
NULL;4.8;6;18;2
NULL;2.4;6;19;2
NULL;5.1;6;20;2
NULL;4.3;6;21;2
NULL;5.8;6;22;2
NULL;3.4;6;23;2
NULL;6;6;24;2
NULL;2.2;6;25;2
NULL;3.6;6;26;2
NULL;2.8;6;27;2
NULL;3.1;6;28;2
NULL;5.5;6;29;2
NULL;2.7;6;30;2
NULL;3.9;6;31;2
NULL;5.4;6;32;2
NULL;7.6;6;33;2
NULL;4.6;6;34;2
NULL;5.8;6;35;2
NULL;6.4;6;36;2
NULL;-2.3;6;37;2
NULL;0.3;6;38;2
NULL;2.6;6;39;2
NULL;0.9;6;40;2
NULL;0.8;6;41;2
NULL;1.5;6;42;2
NULL;1.7;6;43;2
NULL;2.3;6;44;2
NULL;2.9;6;45;2
NULL;2.5;6;46;2
NULL;3.4;6;47;2
NULL;5.8;6;48;2
NULL;3.2;6;49;2
NULL;2.9;6;50;2
NULL;4;6;51;2
NULL;3.8;6;52;2
NULL;5.3;6;53;2
NULL;2.2;6;54;2
NULL;2.9;6;55;2
NULL;4.7;6;56;2
NULL;4.7;6;57;2
NULL;5.7;6;58;2
NULL;2.1;6;59;2
